categorias,codigo_categoria,codigo_cliente_fornecedor,codigo_lancamento_integracao,codigo_lancamento_omie,codigo_tipo_documento,data_emissao,data_previsao,data_registro,data_vencimento,distribuicao,id_conta_corrente,id_origem,nCodOS,numero_documento,numero_documento_fiscal,numero_parcela,numero_pedido,operacao,retem_cofins,retem_csll,retem_inss,retem_ir,retem_iss,retem_pis,status_titulo,tipo_agrupamento,valor_cofins,valor_csll,valor_documento,valor_ir,valor_pis,boleto.cGerado,boleto.cNumBancario,boleto.cNumBoleto,boleto.dDtEmBol,boleto.nPerJuros,boleto.nPerMulta,info.cImpAPI,info.dAlt,info.dInc,info.hAlt,info.hInc,info.uAlt,info.uInc,cNumeroContrato,codigo_barras_ficha_compensacao,bloqueado,bloquear_baixa,valor_iss,bloquear_exclusao,codigo_vendedor,Minha Empresa Nome,Minha Empresa CNPJ
"[{'codigo_categoria': '1.01.02', 'percentual': 100, 'valor': 350}]",1.01.02,1800441542,,1803356584,BOL,02/08/2022,10/08/2022,02/08/2022,10/08/2022,[],1801365323,VENR,1803356006.0,RPS 15,202200000000259,001/001,128,01,N,N,N,N,N,N,RECEBIDO,I,,,350.0,,,S,109/00290132-2,290132,02/08/2022,1,2,N,11/08/2022,02/08/2022,08:32:23,18:14:19,P000424166,P000424166,1121,34191.09008 29013.220321 89964.000007 5 90730000035000,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.02', 'percentual': 100, 'valor': 149}]",1.01.02,1800441546,,1803356594,BOL,02/08/2022,05/08/2022,02/08/2022,05/08/2022,[],1801365323,VENR,1803356019.0,RPS 16,202200000000260,001/001,129,01,N,N,N,N,N,N,RECEBIDO,I,,,149.0,,,S,109/00290133-0,290133,02/08/2022,1,2,N,08/08/2022,02/08/2022,19:46:00,18:14:26,P000424166,P000424166,1124,34191.09008 29013.300321 89964.000007 1 90680000014900,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.02', 'percentual': 100, 'valor': 350}]",1.01.02,1800441551,,1803356602,BOL,02/08/2022,05/09/2022,02/08/2022,05/08/2022,[],1801365323,VENR,1803356030.0,RPS 17,202200000000261,001/001,130,01,N,N,N,N,N,N,ATRASADO,I,,,350.0,,,N,,,,1,2,N,18/08/2023,02/08/2022,17:15:50,18:14:34,P000424166,P000424166,1126,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.02', 'percentual': 100, 'valor': 350}]",1.01.02,1800441555,,1803356618,BOL,02/08/2022,22/09/2022,02/08/2022,19/08/2022,[],1801365323,VENR,1803356044.0,RPS 18,202200000000262,001/001,131,01,N,N,N,N,N,N,CANCELADO,I,,,350.0,,,N,,,,1,2,N,06/01/2023,02/08/2022,08:47:03,18:14:41,P000424166,P000424166,1131,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.02', 'percentual': 100, 'valor': 350}]",1.01.02,1800441560,,1803356628,BOL,02/08/2022,05/10/2022,02/08/2022,15/08/2022,[],1801365323,VENR,1803356067.0,RPS 19,202200000000263,001/001,132,01,N,N,N,N,N,N,RECEBIDO,I,,,350.0,,,N,,,,1,2,N,14/04/2023,02/08/2022,10:18:53,18:14:48,P000424166,P000424166,1138,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.02', 'percentual': 100, 'valor': 350}]",1.01.02,1800441564,,1803356705,BOL,02/08/2022,15/08/2022,02/08/2022,15/08/2022,[],1801365323,VENR,1803356086.0,RPS 20,202200000000264,001/001,133,01,S,S,N,N,N,S,CANCELADO,I,10.5,3.5,350.0,,2.28,N,,,,1,2,N,05/09/2022,02/08/2022,08:52:15,18:15:06,P000424166,P000424166,1144,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.02', 'percentual': 100, 'valor': 350}]",1.01.02,1800441568,,1803356731,BOL,02/08/2022,05/08/2022,02/08/2022,05/08/2022,[],1801365323,VENR,1803356093.0,RPS 21,202200000000265,001/001,134,01,N,N,N,N,N,N,CANCELADO,I,,,350.0,,,N,,,,1,2,N,03/01/2023,02/08/2022,16:16:08,18:15:14,P000424166,P000424166,1145,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.02', 'percentual': 100, 'valor': 350}]",1.01.02,1800441575,,1803356747,BOL,02/08/2022,10/08/2022,02/08/2022,10/08/2022,"[{'cCodDep': '1800170861', 'cDesDep': 'Societário', 'nPerDep': 100, 'nValDep': 350}]",1801365323,VENR,1803356099.0,RPS 22,202200000000266,001/001,135,01,N,N,N,N,N,N,RECEBIDO,I,,,350.0,,,N,,,,1,2,N,18/01/2023,02/08/2022,13:49:22,18:15:21,P000424166,P000424166,1157,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.03', 'percentual': 100, 'valor': 200}]",1.01.03,1800441579,,1803356775,BOL,02/08/2022,20/09/2022,02/08/2022,19/08/2022,[],1801365323,VENR,1803356109.0,RPS 23,202200000000267,001/001,136,01,N,N,N,N,N,N,RECEBIDO,I,,,200.0,,,S,109/00290140-5,290140,12/09/2022,1,2,N,21/09/2022,02/08/2022,09:04:24,18:15:30,P000424166,P000424166,1170,34191.09008 29014.050321 89964.000007 8 91140000020000,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.02', 'percentual': 100, 'valor': 350}]",1.01.02,1800441583,,1803356791,BOL,02/08/2022,19/08/2022,02/08/2022,19/08/2022,[],1801365323,VENR,1803356117.0,RPS 24,202200000000268,001/001,137,01,N,N,N,N,N,N,CANCELADO,I,,,350.0,,,N,,,,1,2,N,23/03/2023,02/08/2022,15:16:44,18:15:36,P000424166,P000424166,1191,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.02', 'percentual': 100, 'valor': 350}]",1.01.02,1800441595,,1803356801,BOL,02/08/2022,10/08/2022,02/08/2022,10/08/2022,[],1801365323,VENR,1803356123.0,RPS 25,202200000000269,001/001,138,01,N,N,N,N,N,N,RECEBIDO,I,,,350.0,,,S,109/00290142-1,290142,02/08/2022,1,2,N,11/08/2022,02/08/2022,08:32:24,18:15:44,P000424166,P000424166,1197,34191.09008 29014.210321 89964.000007 3 90730000035000,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.02', 'percentual': 100, 'valor': 350}]",1.01.02,1800441599,,1803356821,BOL,02/08/2022,10/08/2022,02/08/2022,10/08/2022,[],1801365323,VENR,1803356129.0,RPS 26,202200000000270,001/001,139,01,N,N,N,N,N,N,RECEBIDO,I,,,350.0,,,S,109/00290143-9,290143,02/08/2022,1,2,N,11/08/2022,02/08/2022,08:32:24,18:16:18,P000424166,P000424166,1198,34191.09008 29014.390321 89964.000007 5 90730000035000,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.02', 'percentual': 100, 'valor': 374.65}]",1.01.02,1800440921,,1803356834,BOL,02/08/2022,10/08/2022,02/08/2022,10/08/2022,[],1801365323,VENR,1803356135.0,RPS 27,202200000000271,001/001,140,01,N,N,N,N,N,N,ATRASADO,I,,,374.65,,,N,,,,1,2,N,10/01/2023,02/08/2022,18:38:01,18:16:25,P000424166,P000424166,16,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.02', 'percentual': 100, 'valor': 200}]",1.01.02,1800440933,,1803356842,BOL,02/08/2022,10/08/2022,02/08/2022,10/08/2022,[],1801365323,VENR,1803356141.0,RPS 28,202200000000272,001/001,141,01,N,N,N,N,N,N,CANCELADO,I,,,200.0,,,N,,,,1,2,N,27/10/2022,02/08/2022,09:53:07,18:16:32,P000424166,P000424166,238,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.96', 'percentual': 100, 'valor': 100}]",1.01.96,1800440953,,1803356855,BOL,02/08/2022,15/08/2022,02/08/2022,15/08/2022,[],1801365323,VENR,1803356150.0,RPS 29,202200000000273,001/001,142,01,N,N,N,N,N,N,RECEBIDO,I,,,100.0,,,N,109/00290146-2,290146,,1,2,N,09/08/2022,02/08/2022,22:08:43,18:16:39,P000424166,P000424166,255,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.96', 'percentual': 100, 'valor': 350}]",1.01.96,1800440976,,1803356865,BOL,02/08/2022,10/08/2022,02/08/2022,10/08/2022,[],1801365323,VENR,1803356159.0,RPS 30,202200000000274,001/001,143,01,N,N,N,N,N,N,ATRASADO,I,,,350.0,,,N,,,,1,2,N,10/01/2023,02/08/2022,18:26:16,18:16:46,P000424166,P000424166,267,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.98', 'percentual': 100, 'valor': 390}]",1.01.98,1800441361,,1803356873,BOL,02/08/2022,06/09/2022,02/08/2022,19/08/2022,[],1801365323,VENR,1803356169.0,RPS 31,202200000000275,001/001,144,01,N,N,N,N,N,N,RECEBIDO,I,,,390.0,,,N,,,,1,2,N,08/09/2022,02/08/2022,08:59:01,18:16:53,P000424166,P000424166,283,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.96', 'percentual': 100, 'valor': 300}]",1.01.96,1800440988,,1803356886,BOL,02/08/2022,25/08/2022,02/08/2022,10/08/2022,[],1801365323,VENR,1803356177.0,RPS 32,202200000000276,001/001,145,01,N,N,N,N,N,N,RECEBIDO,I,,,300.0,,,S,109/00290149-6,290149,18/08/2022,1,2,N,19/08/2022,02/08/2022,08:22:22,18:17:01,P000424166,P000424166,300,34191.09008 29014.960321 89964.000007 1 90880000030000,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.02', 'percentual': 100, 'valor': 380}]",1.01.02,1801298099,,1803356907,BOL,02/08/2022,21/09/2022,02/08/2022,19/08/2022,[],1801365323,VENR,1803356191.0,RPS 33,202200000000277,001/001,146,01,N,N,N,N,N,N,RECEBIDO,I,,,380.0,,,S,109/00290150-4,290150,21/09/2022,1,2,N,22/09/2022,02/08/2022,08:50:11,18:17:10,P000424166,P000424166,307,34191.09008 29015.040321 89964.000007 1 91150000038000,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.01', 'percentual': 100, 'valor': 500}]",1.01.01,1801298095,,1803356995,BOL,02/08/2022,19/08/2022,02/08/2022,19/08/2022,[],1801365323,VENR,1803356213.0,RPS 34,202200000000278,001/001,147,01,N,N,N,N,N,N,RECEBIDO,I,,,500.0,,,S,109/00290151-2,290151,02/08/2022,1,2,N,16/08/2022,02/08/2022,11:04:33,18:17:25,P000424166,P000424166,321,34191.09008 29015.120321 89964.000007 1 90820000050000,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.02', 'percentual': 100, 'valor': 499}]",1.01.02,1800441009,,1803357052,BOL,02/08/2022,05/09/2022,02/08/2022,15/08/2022,[],1801365323,VENR,1803356234.0,RPS 35,202200000000279,001/001,148,01,N,N,N,N,N,N,RECEBIDO,I,,,499.0,,,S,109/00290152-0,290152,02/09/2022,1,2,N,06/09/2022,02/08/2022,09:29:55,18:17:32,P000424166,P000424166,357,34191.09008 29015.200321 89964.000007 4 90990000049900,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.02', 'percentual': 100, 'valor': 316.35}]",1.01.02,1800441025,,1803357070,BOL,02/08/2022,22/08/2022,02/08/2022,10/08/2022,[],1801365323,VENR,1803356256.0,RPS 36,202200000000280,001/001,149,01,N,N,N,N,N,N,RECEBIDO,I,,,316.35,,,S,109/00290153-8,290153,12/08/2022,1,2,N,16/08/2022,02/08/2022,11:04:33,18:17:38,P000424166,P000424166,423,34191.09008 29015.380321 89964.000007 9 90850000031635,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.02', 'percentual': 100, 'valor': 367.8}]",1.01.02,1800441029,,1803357082,BOL,02/08/2022,19/08/2022,02/08/2022,19/08/2022,[],1801365323,VENR,1803356276.0,RPS 37,202200000000281,001/001,150,01,N,N,N,N,N,N,ATRASADO,I,,,367.8,,,N,,,,1,2,N,10/01/2023,02/08/2022,17:59:54,18:17:44,P000424166,P000424166,454,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.02', 'percentual': 100, 'valor': 180}]",1.01.02,1801298103,,1803357095,BOL,02/08/2022,20/09/2022,02/08/2022,19/08/2022,[],1801365323,VENR,1803356300.0,RPS 38,202200000000282,001/001,151,01,N,N,N,N,N,N,RECEBIDO,I,,,180.0,,,S,109/00290155-3,290155,14/09/2022,1,2,N,21/09/2022,02/08/2022,09:04:24,18:17:51,P000424166,P000424166,468,34191.09008 29015.530321 89964.000007 9 91140000018000,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.02', 'percentual': 100, 'valor': 301.45}]",1.01.02,1800441041,,1803357135,BOL,02/08/2022,10/08/2022,02/08/2022,10/08/2022,[],1801365323,VENR,1803356322.0,RPS 39,202200000000283,001/001,152,01,N,N,N,N,N,N,RECEBIDO,I,,,301.45,,,S,109/00290156-1,290156,02/08/2022,1,2,N,11/08/2022,02/08/2022,08:32:25,18:17:59,P000424166,P000424166,485,34191.09008 29015.610321 89964.000007 1 90730000030145,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.02', 'percentual': 100, 'valor': 471.85}]",1.01.02,1800441046,,1803357143,BOL,02/08/2022,10/11/2022,02/08/2022,19/08/2022,[],1801365323,VENR,1803356349.0,RPS 40,202200000000284,001/001,153,01,N,N,N,N,N,N,RECEBIDO,I,,,471.85,,,S,109/00290157-9,290157,09/11/2022,1,2,N,10/11/2022,02/08/2022,09:05:50,18:18:06,P000487600,P000424166,487,34191.09008 29015.790321 89964.000007 3 91650000047185,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.02', 'percentual': 100, 'valor': 280}]",1.01.02,1800441055,,1803357153,BOL,02/08/2022,10/08/2022,02/08/2022,10/08/2022,[],1801365323,VENR,1803356378.0,RPS 41,202200000000285,001/001,154,01,N,N,N,N,N,N,RECEBIDO,I,,,280.0,,,N,,,,1,2,N,24/08/2023,02/08/2022,18:30:07,18:18:13,P000424166,P000424166,505,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.02', 'percentual': 100, 'valor': 293}]",1.01.02,1800441059,,1803357170,BOL,02/08/2022,15/08/2022,02/08/2022,15/08/2022,[],1801365323,VENR,1803356406.0,RPS 42,202200000000286,001/001,155,01,N,N,N,N,N,N,RECEBIDO,I,,,293.0,,,S,109/00290159-5,290159,02/08/2022,1,2,N,16/08/2022,02/08/2022,11:04:34,18:18:19,P000424166,P000424166,508,34191.09008 29015.950321 89964.000007 7 90780000029300,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.02', 'percentual': 100, 'valor': 250}]",1.01.02,1800441063,,1803357178,BOL,02/08/2022,25/08/2022,02/08/2022,25/08/2022,[],1801365323,VENR,1803356413.0,RPS 43,202200000000287,001/001,156,01,N,N,N,N,N,N,ATRASADO,I,,,250.0,,,N,,,,1,2,N,10/01/2023,02/08/2022,18:16:01,18:18:26,P000424166,P000424166,514,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.02', 'percentual': 100, 'valor': 281.21}]",1.01.02,1800441067,,1803357186,BOL,02/08/2022,05/08/2022,02/08/2022,05/08/2022,[],1801365323,VENR,1803356423.0,RPS 44,202200000000288,001/001,157,01,N,N,N,N,N,N,RECEBIDO,I,,,281.21,,,S,109/00290161-1,290161,02/08/2022,1,2,N,08/08/2022,02/08/2022,19:46:00,18:18:33,P000424166,P000424166,517,34191.09008 29016.110321 89964.000007 2 90680000028121,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.97', 'percentual': 100, 'valor': 350}]",1.01.97,1800441071,,1803357201,BOL,02/08/2022,10/08/2022,02/08/2022,10/08/2022,[],1801365323,VENR,1803356430.0,RPS 45,202200000000289,001/001,158,01,S,S,N,N,N,S,ATRASADO,I,10.5,3.5,350.0,,2.28,N,,,,1,2,N,19/10/2023,02/08/2022,17:07:02,18:18:39,P000424166,P000424166,539,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.01', 'percentual': 100, 'valor': 450}]",1.01.01,1800441075,,1803357209,BOL,02/08/2022,19/08/2022,02/08/2022,19/08/2022,[],1801365323,VENR,1803356436.0,RPS 46,202200000000290,001/001,159,01,N,N,N,N,N,N,RECEBIDO,I,,,450.0,,,S,109/00290163-7,290163,02/08/2022,1,2,N,22/08/2022,02/08/2022,11:02:01,18:18:45,P000424166,P000424166,541,34191.09008 29016.370321 89964.000007 4 90820000045000,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.01', 'percentual': 100, 'valor': 450}]",1.01.01,1800441080,,1803357217,BOL,02/08/2022,19/08/2022,02/08/2022,19/08/2022,[],1801365323,VENR,1803356445.0,RPS 47,202200000000291,001/001,160,01,N,N,N,N,N,N,RECEBIDO,I,,,450.0,,,S,109/00290164-5,290164,02/08/2022,1,2,N,22/08/2022,02/08/2022,11:02:01,18:18:50,P000424166,P000424166,542,34191.09008 29016.450321 89964.000007 1 90820000045000,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.01', 'percentual': 100, 'valor': 450}]",1.01.01,1800441086,,1803357225,BOL,02/08/2022,19/08/2022,02/08/2022,19/08/2022,[],1801365323,VENR,1803356451.0,RPS 48,202200000000292,001/001,161,01,N,N,N,N,N,N,RECEBIDO,I,,,450.0,,,S,109/00290165-2,290165,02/08/2022,1,2,N,22/08/2022,02/08/2022,11:02:02,18:18:56,P000424166,P000424166,543,34191.09008 29016.520321 89964.000007 1 90820000045000,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.01', 'percentual': 100, 'valor': 450}]",1.01.01,1800441090,,1803357233,BOL,02/08/2022,19/08/2022,02/08/2022,19/08/2022,[],1801365323,VENR,1803356461.0,RPS 49,202200000000293,001/001,162,01,N,N,N,N,N,N,RECEBIDO,I,,,450.0,,,S,109/00290166-0,290166,02/08/2022,1,2,N,22/08/2022,02/08/2022,11:02:02,18:19:02,P000424166,P000424166,544,34191.09008 29016.600321 89964.000007 7 90820000045000,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.01', 'percentual': 100, 'valor': 450}]",1.01.01,1800441094,,1803357241,BOL,02/08/2022,19/08/2022,02/08/2022,19/08/2022,[],1801365323,VENR,1803356468.0,RPS 50,202200000000294,001/001,163,01,N,N,N,N,N,N,RECEBIDO,I,,,450.0,,,S,109/00290167-8,290167,02/08/2022,1,2,N,22/08/2022,02/08/2022,11:02:03,18:19:09,P000424166,P000424166,545,34191.09008 29016.780321 89964.000007 9 90820000045000,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.01', 'percentual': 100, 'valor': 450}]",1.01.01,1800441098,,1803357257,BOL,02/08/2022,19/08/2022,02/08/2022,19/08/2022,[],1801365323,VENR,1803356474.0,RPS 51,202200000000295,001/001,164,01,N,N,N,N,N,N,RECEBIDO,I,,,450.0,,,S,109/00290168-6,290168,02/08/2022,1,2,N,22/08/2022,02/08/2022,11:02:03,18:19:16,P000424166,P000424166,546,34191.09008 29016.860321 89964.000007 4 90820000045000,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.01', 'percentual': 100, 'valor': 450}]",1.01.01,1801298111,,1803358470,BOL,02/08/2022,19/08/2022,02/08/2022,19/08/2022,[],1801365323,VENR,1803358418.0,RPS 52,202200000000296,001/001,165,01,N,N,N,N,N,N,RECEBIDO,I,,,450.0,,,S,109/00290169-4,290169,02/08/2022,1,2,N,22/08/2022,02/08/2022,11:02:04,18:26:19,P000424166,P000424166,547,34191.09008 29016.940321 89964.000007 1 90820000045000,,,,,,E-contábil,42.974.955/0001-90
